Borrower A,Borrower B,Family A,Family B,Similarity,Shared Tokens,Shared Fund Count,Shared Funds,Shared Manager Count,Shared Managers,Industry Match,Combined FV ($M),Suggested Family Key,Override Present
"KKR Altitude II Offshore Aggregator LP, Partnership Interest","KKR Zeno Aggregator LP (K2 Aviation), Partnership Interest",kkr altitude,kkr zeno,0.6,"interest, kkr, partnership",1,FSK,1,FS/KKR Advisor,True,154.008,interest kkr,False
"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC","Modigent, LLC and OMERS PMC Investment Holdings LLC",cvp and,modigent and,0.6,"and, investment, omers",1,ARCC,1,Ares Capital Management,False,110.3,and investment,False
"Modigent, LLC and OMERS PMC Investment Holdings LLC",Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP,modigent and,premise health,0.6,"and, investment, omers",1,ARCC,1,Ares Capital Management,False,58.8,and investment,False
"Mimecast Borrowerco, Inc. and Magnesium Co- Invest SCSp","Spirit RR Holdings, Inc. and Winterfell Co-Invest SCSp",mimecast borrowerco,spirit rr,0.6,"and, invest, scsp",1,ARCC,1,Ares Capital Management,False,56.9,and invest,False
"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC",Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP,cvp and,premise health,0.6,"and, investment, omers",1,ARCC,1,Ares Capital Management,False,51.5,and investment,False
"KKR Central Park Leasing Aggregator L.P., Partnership Interest","KKR Zeno Aggregator LP (K2 Aviation), Partnership Interest",kkr central,kkr zeno,0.6,"interest, kkr, partnership",1,FSK,1,FS/KKR Advisor,True,23.0401,interest kkr,False
Conergy Asia Holdings Limited (United Kingdom),Plate Newco 1 Limited (Avanti) (United Kingdom),conergy asia,plate newco,0.6,"kingdom, limited, united",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),False,9.8567,kingdom limited,False
"ACP Avenu Buyer, LLC","ACP Falcon Buyer, Inc.",acp avenu,acp falcon,0.5,acp,2,"PFLT, PNNT",1,PennantPark Investment Advisers,True,200.012,acp,False
"First Medical MSO, LLC","Rancho Health MSO, Inc.",first medical mso,rancho health,0.5,mso,2,"PFLT, PNNT",1,PennantPark Investment Advisers,True,130.003,mso,False
"Emergency Care Partners, LLC","Eval Home Care Solutions Intermediate, LLC",emergency care,eval home,0.5,care,2,"PFLT, PNNT",1,PennantPark Investment Advisers,True,124.444,care,False
"Imagine Acquisitionco, Inc.","Megawatt Acquisitionco, Inc.",imagine acquisitionco,megawatt acquisitionco,0.5,acquisitionco,2,"PFLT, PNNT",1,PennantPark Investment Advisers,True,94.616,acquisitionco,False
"Apex Service Partners, LLC",Service Express Inc,apex service,service express,0.5,service,1,FSK,1,FS/KKR Advisor,True,916.66,service,False
"Gehl Foods, LLC",Winland Foods,gehl foods,winland foods,0.5,foods,1,OBDC,1,Blue Owl Credit Advisors,True,807.7,foods,False
"Apex Service Partners, LLC",Service Logic LLC,apex service,service logic,0.5,service,1,FSK,1,FS/KKR Advisor,True,799.46,service,False
"Eagle Family Foods Group, LLC",Winland Foods,eagle family,winland foods,0.5,foods,1,OBDC,1,Blue Owl Credit Advisors,True,661.027,foods,False
SLR Credit Solutions,SLR Healthcare ABL,slr credit,slr healthcare,0.5,slr,1,SLRC,1,SLR Capital Partners,True,650.4,slr,False
Dental Care Alliance Inc,"MB2 Dental Solutions, LLC",dental care,mb2 dental,0.5,dental,1,FSK,1,FS/KKR Advisor,True,650.148,dental,False
Shearer's Foods,Winland Foods,shearer s,winland foods,0.5,foods,1,OBDC,1,Blue Owl Credit Advisors,True,632.348,foods,False
DuBois Chemical,"Gaylord Chemical Company, L.L.C.",dubois chemical,gaylord chemical,0.5,chemical,1,OBDC,1,Blue Owl Credit Advisors,True,461.119,chemical,False
Colosseum Dental Group,"MB2 Dental Solutions, LLC",colosseum dental,mb2 dental,0.5,dental,1,FSK,1,FS/KKR Advisor,True,447.648,dental,False
"Eagle Infrastructure Services, LLC",Valor Compute Infrastructure L.P.,eagle infrastructure,valor compute,0.5,infrastructure,1,OBDC,1,Blue Owl Credit Advisors,True,404.428,infrastructure,False
"PetVet Care Centers, LLC",US Renal Care Inc.,petvet care,us renal care,0.5,care,1,OCSL,1,Oaktree Capital Management,True,359.877,care,False
Affordable Care Inc,Dental Care Alliance Inc,affordable care,dental care,0.5,care,1,FSK,1,FS/KKR Advisor,True,354.1,care,False
SLR Business Credit,SLR Healthcare ABL,slr business,slr healthcare,0.5,slr,1,SLRC,1,SLR Capital Partners,True,339.52,slr,False
"Divisions Holding Corporation, Divisions, Inc. and RC V Tecmo Investor LLC",Neptune Bidco US Inc. and Elliott Metron Co-Investor Aggregator L.P.,divisions divisions,neptune us,0.5,"and, investor",1,ARCC,1,Ares Capital Management,False,244.9,and investor,False
Acron Aviation,STS Aviation Group,acron aviation,sts aviation,0.5,aviation,1,OBDC,1,Blue Owl Credit Advisors,True,237.5048,aviation,False
Colosseum Dental Group,Dental Care Alliance Inc,colosseum dental,dental care,0.5,dental,1,FSK,1,FS/KKR Advisor,True,225.9,dental,False
"Eagle Family Foods Group, LLC","Gehl Foods, LLC",eagle family,gehl foods,0.5,foods,1,OBDC,1,Blue Owl Credit Advisors,True,205.921,foods,False
Affordable Care Inc,One Call Care Management Inc,affordable care,one call,0.5,care,1,FSK,1,FS/KKR Advisor,True,201.1,care,False
Service Express Inc,Service Logic LLC,service express,service logic,0.5,service,1,FSK,1,FS/KKR Advisor,True,198.8,service,False
"Gehl Foods, LLC",Shearer's Foods,gehl foods,shearer s,0.5,foods,1,OBDC,1,Blue Owl Credit Advisors,True,177.242,foods,False
"Lido Advisors, LLC and LAL Group Holdings, LLC","Waverly Advisors, LLC and WAAM Topco, LLC",lido advisors,waverly advisors,0.5,"advisors, and",1,ARCC,1,Ares Capital Management,False,166.4,advisors and,False
"JobandTalent USA, Inc. (United Kingdom)","OpenMarket, Inc. (Infobip) (United Kingdom)",jobandtalent usa,openmarket infobip,0.5,"kingdom, united",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),False,156.831,kingdom united,False
Altitude II IRL WH Borrower DAC,"KKR Altitude II Offshore Aggregator LP, Partnership Interest",altitude ii,kkr altitude,0.5,altitude,1,FSK,1,FS/KKR Advisor,True,156.607,altitude,False
Arcwood Environmental,Heritage Environmental Services Inc,arcwood environmental,heritage environmental,0.5,environmental,1,FSK,1,FS/KKR Advisor,True,150.1,environmental,False
"Express Wash Acquisition Company, LLC",Wash & Wax Systems LLC,express wash,wash wax,0.5,wash,1,PFLT,1,PennantPark Investment Advisers,True,139.033,wash,False
Conergy Asia Holdings Limited (United Kingdom),"JobandTalent USA, Inc. (United Kingdom)",conergy asia,jobandtalent usa,0.5,"kingdom, united",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),False,137.0224,kingdom united,False
"JobandTalent USA, Inc. (United Kingdom)",Plate Newco 1 Limited (Avanti) (United Kingdom),jobandtalent usa,plate newco,0.5,"kingdom, united",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),False,129.2125,kingdom united,False
"JobandTalent USA, Inc. (United Kingdom)",Worldremit Group Limited (United Kingdom),jobandtalent usa,worldremit group,0.5,"kingdom, united",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),False,129.0674,kingdom united,False
Com Laude Group Ltd,Insightsoftware.Com Inc,com laude,insightsoftware com,0.5,com,1,FSK,1,FS/KKR Advisor,True,127.5,com,False
"Arcus Biosciences, Inc.","Dare Biosciences, Inc.",arcus biosciences,dare biosciences,0.5,biosciences,1,HTGC,1,Hercules Capital (internal),True,122.045,biosciences,False
"OSP PAR Holdings, LP","PAR Excellence Holdings, Inc.",osp par,par excellence,0.5,par,1,PNNT,1,PennantPark Investment Advisers,True,121.63,par,False
"Inventus Power, Inc.","Power Grid Holdings, Inc.",inventus power,power grid,0.5,power,1,GBDC,1,GC Advisors,True,121.548,power,False
"OSP PAR Aggregator, LP","PAR Excellence Holdings, Inc.",osp par,par excellence,0.5,par,1,PFLT,1,PennantPark Investment Advisers,True,121.5,par,False
Optimizely North America Inc.,Optimizely Sweden Holdings AB,optimizely north,optimizely sweden,0.5,optimizely,1,OCSL,1,Oaktree Capital Management,True,119.256,optimizely,False
"Gauge Lash Coinvest, LLC","Lash OpCo, LLC",gauge lash,lash opco,0.5,lash,1,PNNT,1,PennantPark Investment Advisers,True,115.432,lash,False
GoEuro Travel GmbH,"Peek Travel, Inc.",goeuro travel,peek travel,0.5,travel,1,HTGC,1,Hercules Capital (internal),True,113.856,travel,False
"Perigon Wealth Management, LLC, Perigon Wealth Advisors Holdings Company, LLC and CWC Fund I Co-Invest (Prism) LP","Waverly Advisors, LLC and WAAM Topco, LLC",perigon wealth,waverly advisors,0.5,"advisors, and",1,ARCC,1,Ares Capital Management,False,100.7,advisors and,False
Streamland Media Midco LLC,"Terraboost Media Operating Company, LLC",streamland media,terraboost media,0.5,media,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,95.0254,media,False
Inovar Packaging Group,PPC Flexible Packaging,inovar packaging,ppc flexible,0.5,packaging,1,OBDC,1,Blue Owl Credit Advisors,True,93.233,packaging,False
"Express Wash Intermediate, LLC",Wash & Wax Systems LLC,express wash,wash wax,0.5,wash,1,PNNT,1,PennantPark Investment Advisers,True,90.62,wash,False
"DOXA Insurance Holdings LLC and Rocket Co-Invest, SLP","Raptor Technologies, LLC, Sycamore Bidco LTD and Rocket Parent, LLC",doxa insurance,raptor technologies,0.5,"and, rocket",1,ARCC,1,Ares Capital Management,False,84.2,and rocket,False
Adaptimmune Therapeutics plc,COMPASS Pathways plc,adaptimmune therapeutics,compass pathways,0.5,plc,1,HTGC,1,Hercules Capital (internal),True,82.524,plc,False
"Higginbotham Insurance Agency, Inc.",Keystone Agency Partners LLC,higginbotham insurance,keystone agency,0.5,agency,1,FSK,1,FS/KKR Advisor,True,81.218,agency,False
"Lido Advisors, LLC and LAL Group Holdings, LLC","Perigon Wealth Management, LLC, Perigon Wealth Advisors Holdings Company, LLC and CWC Fund I Co-Invest (Prism) LP",lido advisors,perigon wealth,0.5,"advisors, and",1,ARCC,1,Ares Capital Management,False,78.7,advisors and,False
"COP Home Services TopCo IV, Inc.","Home Service TopCo IV, Inc.",cop home,home service,0.5,home,1,BXSL,1,Blackstone Credit Advisors,True,77.092,home,False
"Stoke Space Technologies, Inc.",Subtotal: Space Technologies ( 2.30 %)*,stoke space,subtotal space,0.5,space,1,HTGC,1,Hercules Capital (internal),True,76.786,space,False
