Family,Family Key,Surveillance Score,Stress Tier,Stress Score,Borrower Count,Fund Count,Manager Count,Borrowers,Funds,Managers,Primary Industry,Total FV ($M),Total Cost ($M),Unrealized %,Nearest Maturity,Weighted Avg Rate %,Weighted Avg Spread (bps),Non-Accrual,Non-Accrual Funds,PIK,PIK Funds,First Seen,Last Seen,Period Count
"Dresser Utility Solutions, LLC",dresser utility,8,YELLOW,2,1,1,1,"Dresser Utility Solutions, LLC",OBDC,Blue Owl Credit Advisors,Energy equipment and services,135.8051,214.643,-0.3673,3/2029,,,False,,False,,2025-09-30,2025-12-31,2
"Senior Loan Fund JV I, LLC",senior loan,8,YELLOW,2,1,1,1,"Senior Loan Fund JV I, LLC",OCSL,Oaktree Capital Management,Multi-Sector Holdings,132.864,222.238,-0.4022,12/29/2028,7.0,,False,,False,,2025-09-30,2025-12-31,2
"The RK Logistics Group, Inc.",rk logistics,8,YELLOW,2,1,1,1,"The RK Logistics Group, Inc.",PSEC,Prospect Capital Management,Commercial Services & Supplies,118.8863,209.478,-0.4325,12/18/2028,14.78,1050.0,False,,False,,2025-09-30,2025-12-31,2
"AQ Sunshine, Inc.",aq sunshine,8,YELLOW,2,1,1,1,"AQ Sunshine, Inc.",ARCC,Ares Capital Management,Insurance,118.6,237.2,-0.5,07/2030,8.67,,False,,False,,2025-09-30,2025-12-31,2
Hercules Adviser LLC,hercules adviser,8,YELLOW,2,1,1,1,Hercules Adviser LLC,HTGC,Hercules Capital (internal),Diversified Financial Services,101.682,150.247,-0.3232,,5.0,,False,,False,,2025-09-30,2025-12-31,2
Industria Chimica Emiliana Srl,industria chimica,8,YELLOW,2,1,1,1,Industria Chimica Emiliana Srl,FSK,FS/KKR Advisor,"Pharmaceuticals, Biotechnology & Life Sciences",86.6,104.0,-0.1673,9/27/26,2.5,,False,,True,FSK,2025-09-30,2025-12-31,2
Easypost,easypost,8,YELLOW,2,1,1,1,Easypost,OTF,Blue Owl Credit Advisors,Application Software,82.892,150.382,-0.4488,6/2029,,,False,,False,,2025-09-30,2025-12-31,2
"Travelperk, Inc.",travelperk,8,YELLOW,2,1,1,1,"Travelperk, Inc.",OTF,Blue Owl Credit Advisors,Professional Services,80.0,145.269,-0.4493,5/2029,,,False,,False,,2025-09-30,2025-12-31,2
"LeanTaaS Holdings, Inc.",leantaas,8,YELLOW,2,1,1,1,"LeanTaaS Holdings, Inc.",ARCC,Ares Capital Management,,73.8,147.6,-0.5,07/2028,11.41,,False,,False,,2025-09-30,2025-12-31,2
"ZocDoc, Inc.",zocdoc,8,YELLOW,2,1,1,1,"ZocDoc, Inc.",ARCC,Ares Capital Management,,66.5,133.0,-0.5,07/2030,9.12,,False,,False,,2025-09-30,2025-12-31,2
